User_ID,Session_ID,Device_ID,Video_ID,Duration_Watched (minutes),Genre,Country,Age,Gender,Subscription_Status,Ratings,Languages,Device_Type,Location,Playback_Quality,Interaction_Events
eb4f9229-74df-45f6-baac-cf19241b8b30,cb2142a7-0750-49ed-b8ac-a975fe1ff69a,232,11,90.04452533,Sci-Fi,Sudan,56,Female,Premium,3,Spanish,Smartphone,Reedshire,4K,73
661d4b59-4328-410a-901c-1e3b4c40c334,3bc0a662-b353-4015-8b0c-55ceb510d13a,549,85,68.97347929,Comedy,Cuba,52,Male,Premium,3,Chinese,Desktop,Stevenhaven,SD,22
dd3fe9e9-ea82-4891-ab93-8a47c80e3251,bd545b4a-9f54-4e87-b9f8-15ae20b44f22,844,50,42.51134326,Comedy,Japan,14,Female,Premium,3,Spanish,Tablet,Vaughntown,HD,41
a1b3365b-1d00-4ddf-bc43-02fc9c10c680,0441086d-c59e-478d-a496-5c5b995ecfdb,201,38,53.31666005,Documentary,Lao People's Democratic Republic,36,Male,Premium,2,Spanish,Laptop,East Raymondbury,SD,40
338d3f91-5f1c-4590-8803-324901826406,0295f01d-7f15-4799-856c-90c688697ef8,700,31,69.43778589,Action,Bangladesh,31,Male,Premium,4,German,Laptop,Michaelchester,HD,41
076b03f1-fd5b-4abe-b22e-cf3b4fdad381,ae95a7b7-6502-4da8-a6e5-9717b67c754a,514,83,41.81091189,Comedy,Tokelau,53,Male,Premium,4,French,Laptop,Thomaston,SD,76
91d4aa91-da98-4ced-851d-c5c0194c63c4,550c6267-4cb4-431f-b868-c834f468f9b7,1,85,63.97909893,Action,Guyana,10,Female,Free,2,English,Laptop,Brownside,HD,26
e707ea19-8d7e-476e-9bf8-c379f01f79da,51522575-8d6c-4489-bb07-ad8391d484e1,73,63,78.33836562,Comedy,Guinea,28,Female,Free,1,French,Desktop,West Danieltown,4K,82
063c3c57-ea7e-42d2-ba7c-f0d35896e2da,7e11bec1-7e50-4963-ab8d-f480c3634efc,900,37,16.2610326,Drama,Palau,41,Male,Premium,3,German,Tablet,Whitehaven,SD,79
b82ccd39-0040-4be9-a969-78b40d4c0c97,32b6968e-3da0-4663-9c47-66cf3ea2cad7,581,71,29.37248654,Drama,Ecuador,40,Male,Free,4,German,Smartphone,Richardsonburgh,SD,19
fe6d5e8e-322f-479c-8589-89b6ad16d3c4,c32ae59c-dd5e-4e73-b110-c1eeb3ebce49,469,31,86.40363253,Drama,Iceland,56,Male,Premium,5,English,Smart TV,North Dustinborough,SD,52
06d62f0f-0a02-4fdf-9265-4929e04195a6,99eca3aa-122f-4b0b-860f-17f841855e85,897,29,35.29466034,Documentary,Colombia,58,Female,Free,2,English,Smartphone,Marilynhaven,HD,62
