batchId,windowStart,windowEnd,timestamp,batchSize,numChecks,executionTimeMs,checkingTimeMs
4,2025-01-31 17:12:10.0,2025-01-31 17:12:30.0,2025-01-31 17:12:50.050,1,0,837,486
4,2025-01-31 17:12:20.0,2025-01-31 17:12:40.0,2025-01-31 17:12:50.366,1,0,1153,101
6,2025-01-31 17:12:30.0,2025-01-31 17:12:50.0,2025-01-31 17:12:52.267,11,3,360,129
19,2025-01-31 17:12:40.0,2025-01-31 17:13:00.0,2025-01-31 17:13:02.167,62,3,350,136
32,2025-01-31 17:12:50.0,2025-01-31 17:13:10.0,2025-01-31 17:13:11.445,111,3,330,114
48,2025-01-31 17:13:00.0,2025-01-31 17:13:20.0,2025-01-31 17:13:22.003,161,3,177,112
62,2025-01-31 17:13:10.0,2025-01-31 17:13:30.0,2025-01-31 17:13:31.599,211,3,522,113
78,2025-01-31 17:13:20.0,2025-01-31 17:13:40.0,2025-01-31 17:13:41.894,259,3,315,106
93,2025-01-31 17:13:30.0,2025-01-31 17:13:50.0,2025-01-31 17:13:52.103,308,3,308,101
107,2025-01-31 17:13:40.0,2025-01-31 17:14:00.0,2025-01-31 17:14:01.701,358,3,319,116
122,2025-01-31 17:13:50.0,2025-01-31 17:14:10.0,2025-01-31 17:14:11.343,407,3,511,101
138,2025-01-31 17:14:00.0,2025-01-31 17:14:20.0,2025-01-31 17:14:21.451,456,3,331,113
155,2025-01-31 17:14:10.0,2025-01-31 17:14:30.0,2025-01-31 17:14:31.739,503,3,318,110
171,2025-01-31 17:14:20.0,2025-01-31 17:14:40.0,2025-01-31 17:14:42.188,552,3,238,138
186,2025-01-31 17:14:30.0,2025-01-31 17:14:50.0,2025-01-31 17:14:51.539,599,3,179,116
202,2025-01-31 17:14:40.0,2025-01-31 17:15:00.0,2025-01-31 17:15:01.828,648,3,323,110
218,2025-01-31 17:14:50.0,2025-01-31 17:15:10.0,2025-01-31 17:15:11.858,697,3,331,115
234,2025-01-31 17:15:00.0,2025-01-31 17:15:20.0,2025-01-31 17:15:21.418,745,3,340,113
251,2025-01-31 17:15:10.0,2025-01-31 17:15:30.0,2025-01-31 17:15:31.538,793,3,323,118
266,2025-01-31 17:15:20.0,2025-01-31 17:15:40.0,2025-01-31 17:15:41.439,841,3,312,106
283,2025-01-31 17:15:30.0,2025-01-31 17:15:50.0,2025-01-31 17:15:51.669,887,3,165,103
300,2025-01-31 17:15:40.0,2025-01-31 17:16:00.0,2025-01-31 17:16:01.941,937,3,336,122
316,2025-01-31 17:15:50.0,2025-01-31 17:16:10.0,2025-01-31 17:16:11.453,983,3,170,104
333,2025-01-31 17:16:00.0,2025-01-31 17:16:20.0,2025-01-31 17:16:21.489,1031,3,182,110
351,2025-01-31 17:16:10.0,2025-01-31 17:16:30.0,2025-01-31 17:16:31.604,1080,3,176,105
367,2025-01-31 17:16:20.0,2025-01-31 17:16:40.0,2025-01-31 17:16:41.770,1125,3,173,109
384,2025-01-31 17:16:30.0,2025-01-31 17:16:50.0,2025-01-31 17:16:51.743,1173,3,244,165
400,2025-01-31 17:16:40.0,2025-01-31 17:17:00.0,2025-01-31 17:17:01.872,1219,3,329,122
416,2025-01-31 17:16:50.0,2025-01-31 17:17:10.0,2025-01-31 17:17:11.565,1266,3,185,119
433,2025-01-31 17:17:00.0,2025-01-31 17:17:20.0,2025-01-31 17:17:21.559,1311,3,338,119
450,2025-01-31 17:17:10.0,2025-01-31 17:17:30.0,2025-01-31 17:17:31.246,1359,3,549,113
467,2025-01-31 17:17:20.0,2025-01-31 17:17:40.0,2025-01-31 17:17:41.712,1404,3,326,112
483,2025-01-31 17:17:30.0,2025-01-31 17:17:50.0,2025-01-31 17:17:51.560,1452,3,173,108
499,2025-01-31 17:17:40.0,2025-01-31 17:18:00.0,2025-01-31 17:18:01.325,1497,3,316,107
516,2025-01-31 17:17:50.0,2025-01-31 17:18:10.0,2025-01-31 17:18:11.848,1544,3,176,110
532,2025-01-31 17:18:00.0,2025-01-31 17:18:20.0,2025-01-31 17:18:21.490,1587,3,189,118
550,2025-01-31 17:18:10.0,2025-01-31 17:18:30.0,2025-01-31 17:18:31.890,1636,3,328,113
566,2025-01-31 17:18:20.0,2025-01-31 17:18:40.0,2025-01-31 17:18:41.680,1682,3,179,111
583,2025-01-31 17:18:30.0,2025-01-31 17:18:50.0,2025-01-31 17:18:51.677,1727,3,341,121
599,2025-01-31 17:18:40.0,2025-01-31 17:19:00.0,2025-01-31 17:19:01.318,1773,3,180,113
616,2025-01-31 17:18:50.0,2025-01-31 17:19:10.0,2025-01-31 17:19:11.544,1819,3,515,111
633,2025-01-31 17:19:00.0,2025-01-31 17:19:20.0,2025-01-31 17:19:21.805,1861,3,367,123
649,2025-01-31 17:19:10.0,2025-01-31 17:19:30.0,2025-01-31 17:19:31.653,1909,3,190,118
664,2025-01-31 17:19:20.0,2025-01-31 17:19:40.0,2025-01-31 17:19:41.653,1951,3,393,152
680,2025-01-31 17:19:30.0,2025-01-31 17:19:50.0,2025-01-31 17:19:51.999,1994,3,185,112
696,2025-01-31 17:19:40.0,2025-01-31 17:20:00.0,2025-01-31 17:20:01.990,2039,3,599,128
711,2025-01-31 17:19:50.0,2025-01-31 17:20:10.0,2025-01-31 17:20:11.748,2085,3,383,140
726,2025-01-31 17:20:00.0,2025-01-31 17:20:20.0,2025-01-31 17:20:21.490,2124,3,202,125
742,2025-01-31 17:20:10.0,2025-01-31 17:20:30.0,2025-01-31 17:20:31.609,2174,3,366,120
758,2025-01-31 17:20:20.0,2025-01-31 17:20:40.0,2025-01-31 17:20:41.821,2218,3,341,125
774,2025-01-31 17:20:30.0,2025-01-31 17:20:50.0,2025-01-31 17:20:51.441,2264,3,353,129
792,2025-01-31 17:20:40.0,2025-01-31 17:21:00.0,2025-01-31 17:21:01.884,2307,3,250,178
